width 25
height 20
2 19 7
6 19 3
7 19 4
9 19 5
11 19 5
20 19 10
24 19 6
2 18 6
4 18 6
5 18 6
7 18 3
9 18 4
12 18 10
15 18 8
22 18 6
0 17 7
12 17 10
14 17 1
22 17 8
2 16 7
4 16 4
5 16 4
10 16 4
11 16 4
15 16 4
18 16 4
23 16 3
1 15 7
2 15 6
5 15 9
11 15 12
19 15 1
14 14 8
17 14 1
20 14 1
23 14 3
24 14 8
0 13 4
12 13 8
21 13 3
14 12 9
18 12 1
23 12 8
11 11 8
15 11 3
17 11 3
21 11 3
22 11 2
0 10 4
11 10 7
12 10 10
20 10 1
22 10 2
24 10 1
0 9 7
15 9 4
18 9 4
19 9 1
23 9 8
1 8 2
2 8 2
11 8 7
13 8 4
14 8 9
18 8 4
23 8 7
1 7 4
4 7 4
5 7 9
22 7 1
2 6 2
3 6 2
6 6 4
9 6 4
11 6 12
13 6 2
14 6 1
21 6 1
0 5 7
8 5 3
10 5 3
12 5 1
13 5 2
20 5 1
2 4 1
7 4 2
14 4 1
15 4 3
16 4 2
17 4 3
19 4 3
0 3 7
6 3 7
7 3 2
8 3 6
13 3 6
16 3 2
14 2 1
15 2 3
23 2 7
0 1 2
4 1 4
5 1 2
8 1 3
12 1 2
13 1 1
16 1 5
20 1 5
22 1 2
23 1 2
0 0 2
4 0 4
5 0 2
6 0 5
8 0 5
9 0 3
12 0 2
21 0 1
